CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
118,Female,58.0,107.0,72.0
119,Female,50.0,,76.0
120,Male,57.0,100.0,24.0
121,Female,56.0,43.0,28.0
122,Male,35.0,83.0,8.0
123,Female,57.0,61.0,92.0
124,Male,18.0,108.0,36.0
125,Male,28.0,99.0,90.0
126,Female,45.0,53.0,8.0
127,Female,42.0,114.0,58.0
128,Male,67.0,47.0,
129,Female,40.0,115.0,50.0
130,Female,48.0,37.0,28.0
131,Female,47.0,24.0,92.0
132,Male,59.0,83.0,41.0
133,Male,52.0,114.0,100.0
134,Male,24.0,48.0,64.0
135,Male,33.0,110.0,27.0
136,Male,43.0,15.0,63.0
137,,65.0,83.0,17.0
138,Male,69.0,18.0,73.0
139,Male,66.0,30.0,33.0
140,Male,19.0,38.0,84.0
141,Female,18.0,94.0,77.0
142,Male,65.0,16.0,92.0
143,Female,29.0,142.0,29.0
144,Female,22.0,98.0,13.0
145,Female,54.0,138.0,46.0
146,Male,49.0,47.0,35.0
147,Male,26.0,115.0,6.0
148,Male,58.0,26.0,82.0
149,Male,52.0,81.0,69.0
150,Female,36.0,79.0,47.0
151,Male,65.0,88.0,25.0
152,Male,33.0,57.0,66.0
153,Male,20.0,58.0,10.0
154,Male,37.0,43.0,56.0
155,Male,41.0,26.0,30.0
156,Female,,109.0,5.0
157,Male,41.0,60.0,33.0
158,Female,69.0,144.0,65.0
159,Male,28.0,49.0,18.0
160,Female,66.0,95.0,96.0
161,Male,25.0,104.0,49.0
162,Male,53.0,22.0,11.0
163,Female,55.0,107.0,85.0
164,Female,57.0,104.0,26.0
165,Female,37.0,129.0,63.0
166,Male,52.0,119.0,89.0
167,Female,65.0,149.0,86.0
168,Male,42.0,72.0,59.0
169,Male,52.0,128.0,27.0
170,Female,42.0,89.0,49.0
171,Female,46.0,134.0,77.0
172,Male,35.0,,33.0
173,Male,63.0,115.0,98.0
174,Female,35.0,113.0,99.0
175,Female,19.0,50.0,1.0
176,Female,52.0,110.0,21.0
177,Male,33.0,51.0,55.0
178,Male,58.0,26.0,6.0
179,Male,53.0,127.0,92.0
180,Male,50.0,27.0,81.0
181,,21.0,37.0,69.0
182,Male,50.0,113.0,95.0
183,Female,31.0,119.0,5.0
184,Male,38.0,44.0,3.0
185,Male,65.0,31.0,53.0
186,Male,37.0,127.0,23.0
187,Female,25.0,76.0,53.0
188,Male,24.0,98.0,37.0
189,Male,20.0,126.0,74.0
190,Female,34.0,100.0,74.0
191,Male,50.0,33.0,83.0
192,Male,65.0,114.0,17.0
193,Male,29.0,90.0,85.0
194,Male,68.0,23.0,
195,Male,39.0,42.0,73.0
196,Female,39.0,142.0,1.0
197,Female,63.0,66.0,51.0
198,Female,47.0,97.0,45.0
199,Male,55.0,125.0,77.0
200,Male,55.0,131.0,4.0
