Restaurant Name,City,Cuisines,Average Cost for two,Price range,Aggregate rating,Votes
Bombay Bistro,Mumbai,"Continental, Cafe",700.0,2,3.4,479.0
Bengal Kitchen,Kolkata,"Bengali, North Indian",500.0,2,3.6,300.0
Coastal Kitchen,Chennai,"South Indian, Seafood",550.0,2,3.9,684.0
The Curry House,Mumbai,"North Indian, Mughlai",2100.0,4,3.6,955.0
Kolkata Kathi,Kolkata,"Street Food, Fast Food",250.0,1,4.0,234.0
Kolkata Kathi,Kolkata,"Street Food, Fast Food",2600.0,4,3.8,428.0
Street Eats,Delhi,"Street Food, Fast Food",600.0,2,3.6,
Coastal Kitchen,Chennai,"South Indian, Seafood",800.0,3,3.9,989.0
Masala Magic,Kolkata,"North Indian, Chinese",600.0,2,4.0,665.0
Idli Express,Bangalore,South Indian,1100.0,3,3.7,170.0
Chaat Junction,Mumbai,"Street Food, North Indian",350.0,1,3.7,5.0
Hyderabadi House,Hyderabad,"Biryani, North Indian",200.0,1,4.2,319.0
Bengal Kitchen,Kolkata,"Bengali, North Indian",2150.0,4,2.8,760.0
Chennai Meals,Chennai,South Indian,850.0,2,3.6,746.0
Bombay Bistro,Mumbai,"Continental, Cafe",900.0,3,3.5,643.0
Cafe Aroma,Pune,"Cafe, Desserts",600.0,2,2.8,400.0
Coastal Kitchen,Chennai,"South Indian, Seafood",200.0,1,3.7,503.0
Bean Theory,Pune,"Cafe, Bakery",200.0,1,3.8,75.0
Cafe Aroma,Pune,"Cafe, Desserts",650.0,2,3.9,784.0
Andhra Spice,Hyderabad,,500.0,2,3.8,506.0
Cafe Mocha,Pune,"Cafe, Italian",2050.0,4,4.5,442.0
Bombay Bistro,Mumbai,"Continental, Cafe",1100.0,3,3.8,647.0
Masala Magic,Kolkata,"North Indian, Chinese",2200.0,4,3.2,698.0
Cafe Aroma,Pune,"Cafe, Desserts",700.0,2,3.8,590.0
Punjabi Rasoi,Delhi,"North Indian, Punjabi",950.0,2,4.5,469.0
South Spice,Chennai,"South Indian, Chinese",1150.0,3,4.1,726.0
Hyderabadi House,,"Biryani, North Indian",250.0,1,3.5,282.0
Pizza Central,Pune,"Pizza, Italian",350.0,1,4.1,167.0
Green Leaf,Bangalore,"South Indian, Healthy Food",1050.0,3,3.9,569.0
Chennai Meals,Chennai,South Indian,1250.0,3,4.2,719.0
Coastal Kitchen,Chennai,"South Indian, Seafood",1700.0,4,3.6,838.0
Andhra Spice,Hyderabad,"Andhra, South Indian",1950.0,4,2.7,643.0
Spice Route,Bangalore,"North Indian, Chinese",300.0,1,4.2,5.0
The Gourmet Table,Bangalore,"Continental, Italian",,2,4.0,601.0
Spice Route,Bangalore,"North Indian, Chinese",350.0,1,3.7,654.0
Bengal Bites,Kolkata,"Bengali, Chinese",700.0,2,3.6,237.0
Royal Andhra,Hyderabad,"Andhra, Biryani",250.0,1,3.6,457.0
Hyderabadi House,Hyderabad,"Biryani, North Indian",750.0,2,3.3,362.0
Chaat Junction,Mumbai,"Street Food, North Indian",1150.0,3,3.1,544.0
Coastal Kitchen,Chennai,"South Indian, Seafood",300.0,1,4.1,101.0
Royal Dine,Mumbai,"Mughlai, North Indian",2800.0,4,4.4,708.0
Punjabi Rasoi,Delhi,"North Indian, Punjabi",1300.0,3,3.8,566.0
Chaat Junction,Mumbai,"Street Food, North Indian",300.0,1,,453.0
Urban Tadka,Delhi,North Indian,150.0,1,3.7,484.0
The Curry House,Mumbai,"North Indian, Mughlai",600.0,2,3.5,306.0
Chennai Meals,Chennai,South Indian,850.0,2,3.6,746.0
